iter	Passed	Remaining
262	568	1594
263	572	1596
264	574	1594
265	576	1589
266	577	1584
267	578	1580
268	579	1575
269	581	1571
270	582	1566
271	583	1562
272	587	1565
273	589	1561
274	590	1556
275	591	1552
276	593	1548
277	594	1544
278	595	1539
279	597	1535
280	598	1532
281	602	1534
282	604	1531
283	605	1527
284	607	1523
285	608	1518
286	609	1514
287	610	1510
288	612	1506
289	613	1501
290	615	1498
291	617	1496
292	618	1493
293	620	1489
294	621	1485
295	622	1481
296	624	1477
297	625	1473
298	628	1472
299	630	1471
300	632	1468
301	635	1467
302	636	1463
303	637	1460
304	639	1456
305	640	1452
306	641	1448
307	643	1444
308	644	1440
309	646	1439
310	649	1439
311	651	1436
312	652	1433
313	654	1429
314	655	1425
315	657	1422
316	659	1420
317	662	1419
318	665	1421
319	668	1421
320	670	1418
321	672	1416
322	674	1412
323	676	1411
324	680	1413
325	682	1411
326	684	1409
327	686	1406
328	688	1404
329	693	1407
330	696	1407
331	698	1404
332	699	1400
333	700	1397
334	702	1393
335	703	1389
336	705	1387
337	708	1387
338	711	1386
339	713	1384
340	714	1381
341	716	1377
342	719	1377
343	722	1378
344	725	1376
345	726	1373
346	728	1370
347	729	1366
348	730	1363
349	732	1359
350	733	1356
351	736	1356
352	739	1354
353	742	1354
354	743	1351
355	745	1347
356	746	1344
357	747	1341
358	749	1338
359	751	1336
360	754	1335
361	756	1332
362	757	1329
363	759	1326
364	760	1323
365	762	1320
366	764	1318
367	767	1317
368	768	1314
369	770	1311
370	771	1307
371	772	1304
372	773	1301
373	775	1297
374	776	1294
375	778	1291
376	779	1287
377	781	1286
378	783	1284
379	785	1281
380	786	1277
381	787	1274
382	788	1270
383	790	1267
384	791	1263
385	792	1260
386	793	1257
387	794	1253
388	798	1253
389	800	1251
390	801	1248
391	802	1244
392	804	1241
393	805	1238
394	806	1235
395	807	1232
396	809	1229
397	810	1225
398	812	1223
399	813	1220
400	814	1217
401	816	1214
402	817	1210
403	818	1207
404	819	1204
405	821	1201
406	822	1198
407	823	1195
408	825	1192
409	827	1191
410	829	1188
411	830	1184
412	831	1181
413	832	1178
414	834	1175
415	835	1173
416	836	1170
417	839	1168
418	841	1167
419	843	1164
420	844	1161
421	845	1158
422	847	1155
423	848	1152
424	849	1149
425	850	1146
426	852	1143
427	855	1143
428	857	1140
429	858	1137
430	859	1134
431	860	1131
432	862	1128
433	863	1125
434	864	1123
435	865	1120
436	867	1117
437	870	1117
438	873	1115
439	874	1112
440	875	1109
441	877	1107
442	878	1104
443	879	1101
444	880	1098
445	882	1095
446	884	1093
447	886	1092
448	887	1089
449	889	1086
450	890	1083
451	891	1080
452	892	1077
453	893	1074
454	895	1072
